mapping_kind,format_epoch,version_scope,record_identity,cmper,element_stride,location,width_bytes,byte_order_rule,target_field,verification,confidence
scalar,"uncompressed, DCL, zlib",Finale 2004 onward,57,65534,,word 2,2,container,wordExtMinLength,"38 in every fixture that carries the selector and in every companion; not yet varied by any controlled edit",strong
scalar,"uncompressed, DCL, zlib",Finale 2004 onward,57,65534,,word 3,2,container,wordExtOffsetToNotehead,"1 in every fixture that carries the selector, against a companion that always sets it; not yet varied",strong
scalar,"uncompressed, DCL, zlib",Finale 3.x onward,67,65534,,word 5,2,container,wordExtLineWidth,"the one scalar the tracked fixtures vary: 118 in Finale 3.7.2/97/2000/2002, 224 from Finale 2003, 115 in one Finale 2012 document, each matching its companion exactly",confirmed
collection,"uncompressed, DCL, zlib",Finale 2000 onward,87,65534,3 words,"position p at words 3p, 3p+1, 3p+2 across two incidences",2,container,syllablePosStyles[4],"four positions in musxdom's own type order, arriving with Finale 2000 alongside its dedicated Lyric Options dialog; framework-named as othersSyll/wordExtensionSyll/firstSyll/startSysSyll. The last two carry identical values in almost every document, but 5 reference-corpus documents differ and all 5 confirm the order in both directions",confirmed
field-of-collection,"uncompressed, DCL, zlib",Finale 2000 onward,87,65534,3 words,"words 3p and 3p+1",2,container,syllablePosStyles[p].align / justify,"legacy list is 1 = centre, 2 = left, 3 = right, from the framework's LYRICS_ALIGN_ constants; every fixture stores 1 where its companion says center and 2 where it says left. No corpus document uses 3 at all -- across 1,189 companion pairs not one carries right for any position -- so tests/evidence/F2000/F2000-lyropts-align-just.* supplies it, twice over: align 3 on the first syllable and justify 3 on the system start, both reading right in the companion. All three members verified against Finale's own conversion",confirmed
field-of-collection,"uncompressed, DCL, zlib",Finale 2000 onward,87,65534,3 words,"word 3p+2, bit 15",2,container,syllablePosStyles[p].on,"the Finale 2000 multilayer fixture clears the bit for the three optional positions and its companion omits their <on/>; every other fixture sets it and every companion emits it",confirmed
scalar,zlib,Finale 2011 onward (record size marker),58,65534,,"words 6, 7 and 8",2,container,"showAutoNumbersOnVerses / Choruses / Sections","three tracked Finale 2011 saves carry a binary code so each field has a unique signature: the type moves only in the first, Verses in the first and second, Choruses in the first and third, Sections in all three. Selected by the record's own size rather than a version -- selector 58 is 6 words before Finale 2011 and 12 after, and the installs survey splits at exactly that line with 12 bytes in all 22 Finale 2010 documents and 24 in all 597 Finale 2011 ones",confirmed
scalar,zlib,Finale 2011 onward (record size marker),58,65534,,word 9,2,container,lyricAutoNumType,"1 is align and 0 is none, which is musxdom AutoNumberingAlign order, so it passes through untranslated. F2011-lyropts-autonum-type is the only fixture that moves this word and its companion omits the element, which is musxdom None",confirmed
era-behavior,all,before Finale 2011 (short selector 58),,,,,,,"showAutoNumbersOnVerses / Choruses / Sections = false","asserted, not read: a document whose selector 58 is still six words shows no automatic numbers at all. lyricAutoNumType is left to the baseline instead, because the numbering type of a document that displays no numbers means nothing",strong
era-behavior,all,before Finale 2004 (no selector 57),,,,,,,"useSmartHyphens / useSmartWordExtensions = false","asserted, not read: both arrive with Finale 2004 and are implemented as smart shapes, hyphen smart shapes for the one and word-extension smart shapes for the other. Finale 27 manufactures those on upgrade, so every pre-2004 companion returns both switched on and the pinned baseline agrees; this reader does not manufacture them, so leaving the switches on would claim a rendering nothing in the imported pools can draw. The class's only deliberate disagreement with Finale 27, and one about capability rather than about what the bytes say",strong
era-behavior,all,before Finale 2004 (no selector 57),,,,,,,wordExtNeedUnderscore = false,"asserted, not read: the option does not exist before Finale 2004. Baseline and companions both already say false, and it is asserted on the same footing as noHorizontalStretch because the era behaviour is known rather than inherited",strong
era-behavior,all,before Finale 2000 (no selector 87),,,,,,,"syllablePosStyles[wordExt|first|systemStart].on = false","asserted, not read: 37 tracked fixtures without selector 87 all convert with those three switched off, against a pinned baseline that switches all three on",strong
era-behavior,Coda-banner,Finale 1.x-2.x (no selector 67),,,,,,,wordExtLineWidth = 224,"asserted, not read: all 25 tracked Finale 1.0.0 and 2.6.3 fixtures convert to 224 while the pinned baseline says 115",strong
scalar,zlib,Finale 2011 onward,57,65534,,word 4,2,container,lyricUseEdgePunctuation,"Finale 2011, not 2012: the Finale 2010 lyric dialog has no such option and the Finale 2011 one does, and the installs survey splits at that line with 0 in all 22 companion-backed Finale 2010 documents and 1 in all 597 Finale 2011 ones. Then 248/248 companion-backed Finale 2012 documents: all 198 with the word clear convert without <lyricUseEdgePunctuation/> and all 50 with it set convert with it. A negative control in Finale 2008 separates it from nine lineage artifacts that partition the same cohort. Then confirmed by controlled one-variable save: tests/evidence/F2012/F2012-lyropts-noign-punct.mus clears the checkbox and moves byte 8 from 0 to 1 with no other word of the record moving",confirmed
era-behavior,all,before Finale 2011,,,,,,,lyricUseEdgePunctuation = true,"asserted, not read: the setting arrives with Finale 2011, so the word exists for seven releases before it means anything. All 454 companion-backed documents through Finale 2003 (no selector 57) and all 487 from Finale 2004-2010 (word 4 clear) convert with punctuation not ignored, against a pinned baseline that says the opposite",confirmed
post-format,all,after Finale 2012,,,,,,,hyphenChar,"the hyphen character option postdates Finale 2012, the last release this reader opens, so no legacy file states it. Left exactly as seeded and reported as a Finale 27 default: restating U+002D in code would be a second copy of a fact the pinned resource already carries",strong
scalar,all,Finale 2004 onward,34,65534,,word 5,2,container,useSmartWordExtensions,"tests/evidence/F2004/F2004-lyropts-nosmart-wext.* moves it 1 to 0; ETF and companion agree. Gated on selector 57 like the smart-hyphen switch: the word is 0 in every pre-2004 document while every such companion switches the option on, and Finale 2.6.3 stores 12 there, which is no boolean",confirmed
era-behavior,all,after Finale 2012,,,,,,,useAltHyphenFont = false,"asserted, not read: the alternate hyphen font postdates Finale 2012, so no legacy document uses one and the value is known rather than guessed. Asserted although the pinned baseline agrees, on the noHorizontalStretch precedent -- the baseline states one document's setting, the assertion states a fact about the formats",strong
not-imported,all,after Finale 2012,,,,,,,altHyphenFont,"absent from the pinned <lyricOptions> element, so the seeded member is null during the import -- which is how the absence is detected without reading the baseline XML. The reader declines to invent a value and reports none; musxdom synthesizes the FontInfo in integrityCheck after construction",strong
scalar,"uncompressed, DCL, zlib",Finale 2004 onward,57,65534,,word 1,2,container,wordExtNeedUnderscore,"tests/evidence/F2004/F2004-lyropts-needuscore.* moves it 0 to 1; ETF and companion agree. The Finale 2004 dialog wording is inverted and unclear and was reworded by Finale 2012, but the companion shows the stored value needs no inversion. Fills the last previously unexplained word of the selector 57 record except word 5",confirmed
text-tail,zlib,Finale 2011 onward (two layouts),57,65534,,"bytes 12 onward: packed 8-bit platform code page in Finale 2011, 16-bit code units in Finale 2012; zero-terminated either way",2,container,lyricPunctuationToIgnore,"written only when the list differs from the stock set, which is why no corpus document carries it: the element takes two values across all 1,189 companions, absent or stock. tests/evidence/F2012/F2012-lyric-punct.mus sets it to #@%& and the record grows from 12 to 24 bytes. An absent tail means the stock list, which musxdom integrityCheck already supplies. Two layouts: tests/evidence/F2011/F2011-lyric-punct.* stores #@%&<<>> as the six bytes 23 40 25 26 c7 c8 in string order, where Finale 2012 stores one 16-bit unit per character. Both containers are little-endian, so reading the 2011 bytes as words would transpose every pair. The bytes c7 c8 are the guillemets in Mac Roman and CE in Windows-1252 and the companion reads guillemets, so the code page comes from the document platform",confirmed
open,,,,,,,,,showAutoNumbersOnVerses / Choruses / Sections,"absent from every companion; no located word",open
open,,,,,,,,,lyricAutoNumType,"`align` in every companion but one Finale 2012 fixture, which omits the element while differing from its sibling in no lyric record this study located",open
